patient_id,total_logins_30_days,avg_session_duration_minutes,reminder_response_rate,medicine_searches,chat_interactions,reminder_snooze_rate
P00631,34,14.9,0.6,5,9,0.12
P00632,13,11.7,0.57,4,15,0.2
P00633,71,6.4,0.95,5,5,0.21
P00634,32,4.9,0.32,0,9,0.15
P00635,18,8.5,0.39,1,15,0.16
P00636,58,3.7,0.86,7,11,0.38
P00637,18,4.3,0.44,9,0,0.16
P00638,65,10.3,0.89,2,12,0.08
P00639,29,14.9,0.35,4,0,0.22
P00640,75,13.3,0.93,2,7,0.1
P00641,11,3.9,0.57,5,4,0.25
P00642,36,7.4,0.32,10,5,0.37
P00643,27,13.8,0.58,8,4,0.22
P00644,34,12.4,0.9,1,2,0.4
P00645,34,5.1,0.43,3,7,0.3
P00646,16,8.0,0.32,6,0,0.08
P00647,15,5.7,0.69,5,12,0.1
P00648,35,8.8,0.51,10,14,0.36
P00649,45,8.5,0.95,7,15,0.32
P00650,37,3.2,0.54,5,2,0.14
P00651,31,6.3,0.91,3,2,0.17
P00652,15,9.3,0.66,7,4,0.37
P00653,23,2.5,0.46,0,9,0.06
P00654,46,3.9,0.85,7,13,0.14
P00655,12,6.3,0.47,4,8,0.27
P00656,41,12.3,0.89,3,8,0.05
P00657,35,4.4,0.97,8,13,0.27
P00658,60,13.1,0.87,4,2,0.19
P00659,70,10.2,0.9,1,13,0.09
P00660,18,12.3,0.4,6,11,0.33
P00661,69,9.4,0.97,5,1,0.2
P00662,34,11.0,0.46,2,13,0.15
P00663,40,8.9,0.56,3,6,0.38
P00664,23,4.2,0.89,5,3,0.17
P00665,22,2.2,0.68,5,0,0.08
P00666,13,3.1,0.55,10,14,0.4
P00667,22,14.5,0.34,5,12,0.18
P00668,73,4.0,0.96,2,9,0.21
P00669,19,10.9,0.35,10,9,0.36
P00670,37,2.2,0.38,0,4,0.21
P00671,77,13.1,0.92,4,12,0.38
P00672,28,12.6,0.46,2,15,0.18
P00673,32,5.7,0.87,3,6,0.11
P00674,28,6.0,0.96,4,9,0.15
P00675,13,10.6,0.45,8,9,0.06
P00676,38,3.0,0.5,2,14,0.18
P00677,42,4.2,0.89,1,2,0.08
P00678,28,8.8,0.34,4,5,0.29
P00679,6,8.8,0.67,8,0,0.15
P00680,29,2.0,0.95,3,9,0.07
P00681,15,6.9,0.5,2,10,0.2
P00682,33,11.8,0.68,3,3,0.14
P00683,69,11.7,0.89,9,0,0.34
P00684,40,4.6,0.64,5,15,0.22
P00685,28,10.8,0.43,10,13,0.07
P00686,22,13.5,0.45,4,14,0.15
P00687,78,10.4,0.93,5,8,0.28
P00688,23,4.3,0.92,9,5,0.08
P00689,59,10.6,0.94,7,15,0.2
P00690,87,7.3,0.89,7,9,0.1
P00691,25,2.6,0.89,9,4,0.11
P00692,24,8.9,0.93,0,13,0.23
P00693,49,12.5,0.97,4,10,0.28
P00694,17,13.7,0.6,4,0,0.24
P00695,46,11.2,0.92,0,2,0.32
P00696,11,7.3,0.64,5,4,0.28
P00697,57,11.2,0.9,10,0,0.35
P00698,30,5.1,0.54,1,12,0.28
P00699,31,11.7,0.87,9,7,0.31
P00700,80,10.6,0.87,2,11,0.14
P00701,31,11.5,0.36,0,10,0.05
P00702,27,13.0,0.57,6,1,0.17
P00703,69,10.4,0.88,3,1,0.2
P00704,6,5.3,0.57,1,1,0.36
P00705,30,9.9,0.45,5,0,0.28
P00706,21,2.6,0.53,1,15,0.3
P00707,66,9.0,0.96,0,12,0.17
P00708,21,6.0,0.54,2,3,0.3
P00709,33,12.8,0.43,4,14,0.34
P00710,5,10.2,0.59,5,8,0.37
P00711,34,9.7,0.58,4,15,0.36
P00712,68,13.7,0.91,8,0,0.18
P00713,85,6.3,0.86,7,9,0.36
P00714,18,3.9,0.5,10,14,0.28
P00715,51,4.1,0.89,3,2,0.13
P00716,40,9.8,0.48,8,12,0.33
P00717,40,6.0,0.31,6,14,0.18
P00718,14,13.5,0.69,6,12,0.1
P00719,68,9.3,0.91,4,6,0.31
P00720,50,5.9,0.88,10,5,0.33
P00721,37,11.7,0.64,10,13,0.15
P00722,35,12.6,0.59,5,2,0.13
P00723,65,13.8,0.88,3,13,0.39
P00724,22,2.1,0.53,7,3,0.22
P00725,33,12.1,0.39,4,6,0.17
P00726,20,3.1,0.93,4,11,0.23
P00727,35,14.0,0.58,6,1,0.09
P00728,31,8.9,0.4,5,9,0.25
P00729,20,6.4,0.49,6,14,0.19
P00730,59,13.2,0.87,5,10,0.36
P00731,28,3.4,0.9,5,10,0.23
P00732,33,14.5,0.36,1,1,0.3
P00733,36,7.2,0.43,0,4,0.18
P00734,61,3.0,0.85,10,1,0.26
P00735,25,6.1,0.33,0,15,0.1
P00736,79,2.6,0.87,10,8,0.18
P00737,6,7.1,0.58,4,10,0.15
P00738,64,7.6,0.93,5,9,0.29
P00739,38,7.5,0.57,3,9,0.16
P00740,28,10.7,0.89,0,3,0.31
P00741,36,2.1,0.61,2,5,0.23
P00742,37,12.7,0.9,7,12,0.1
P00743,22,3.8,0.85,2,0,0.15
P00744,26,4.3,0.87,1,10,0.24
P00745,74,5.6,0.9,2,12,0.39
P00746,54,8.6,0.88,0,7,0.11
P00747,26,8.4,0.32,10,7,0.19
P00748,31,5.2,0.69,7,4,0.39
P00749,87,7.8,0.97,10,6,0.28
P00750,34,6.1,0.68,7,6,0.18
P00751,6,4.9,0.3,4,4,0.39
P00752,28,9.3,0.32,8,14,0.34
P00753,27,3.9,0.33,0,0,0.06
P00754,17,3.9,0.61,0,3,0.33
P00755,38,6.7,0.41,8,11,0.13
P00756,49,12.9,0.92,6,4,0.31
P00757,26,4.1,0.68,6,11,0.32
P00758,32,10.4,0.87,0,0,0.39
P00759,80,14.7,0.97,6,11,0.38
P00760,9,3.9,0.32,10,15,0.19
P00761,20,9.6,0.93,1,15,0.21
P00762,37,10.6,0.47,9,6,0.11
P00763,40,3.1,0.69,2,3,0.07
P00764,40,5.9,0.5,7,14,0.28
P00765,32,14.0,0.61,1,13,0.3
P00766,40,9.5,0.86,6,6,0.1
P00767,6,7.2,0.31,1,0,0.19
P00768,23,3.1,0.42,1,4,0.3
P00769,35,8.0,0.87,7,15,0.1
P00770,27,10.4,0.3,1,5,0.29
P00771,47,9.8,0.94,6,2,0.06
P00772,47,3.5,0.97,4,2,0.14
P00773,66,7.9,0.85,2,11,0.09
P00774,38,9.9,0.36,0,2,0.19
P00775,22,4.4,0.95,1,15,0.1
P00776,7,7.9,0.37,6,1,0.33
P00777,87,9.9,0.91,6,12,0.3
P00778,34,10.1,0.42,8,4,0.24
P00779,60,8.3,0.86,2,14,0.06
P00780,5,12.3,0.5,6,6,0.14
P00781,77,2.4,0.88,7,11,0.2
P00782,6,9.1,0.63,10,3,0.27
P00783,80,4.2,0.88,8,7,0.36
P00784,22,5.8,0.57,4,11,0.07
P00785,22,9.9,0.48,8,15,0.31
P00786,37,5.3,0.89,7,0,0.39
P00787,32,13.9,0.34,2,9,0.28
P00788,40,14.1,0.35,8,0,0.06
P00789,40,2.2,0.52,6,10,0.32
P00790,35,6.7,0.49,5,7,0.07
P00791,83,13.4,0.95,0,1,0.12
P00792,60,5.1,0.88,0,1,0.1
P00793,13,9.9,0.55,0,7,0.39
P00794,65,4.6,0.88,8,0,0.21
P00795,90,3.1,0.89,9,11,0.36
P00796,61,4.0,0.97,4,14,0.23
P00797,80,7.9,0.87,9,8,0.13
P00798,29,4.3,0.46,0,0,0.23
P00799,15,9.0,0.55,8,14,0.12
P00800,87,4.1,0.91,4,11,0.4
P00801,27,9.9,0.38,8,13,0.08
P00802,64,14.1,0.86,3,4,0.17
P00803,19,11.2,0.35,8,13,0.06
P00804,10,11.6,0.65,0,9,0.27
P00805,90,2.2,0.96,1,5,0.09
P00806,57,9.1,0.96,8,1,0.26
P00807,14,3.1,0.5,5,13,0.22
P00808,19,11.9,0.53,7,7,0.17
P00809,69,8.9,0.96,5,0,0.18
P00810,35,11.9,0.64,6,7,0.36
P00811,26,13.5,0.97,3,11,0.37
P00812,59,3.8,0.97,3,4,0.07
P00813,28,13.6,0.54,7,12,0.26
P00814,41,3.2,0.93,8,8,0.31
P00815,59,10.4,0.89,9,3,0.12
P00816,31,2.4,0.44,6,8,0.34
P00817,44,6.4,0.87,9,0,0.2
P00818,68,9.9,0.92,10,10,0.19
P00819,59,10.2,0.97,3,3,0.09
P00820,75,8.3,0.97,7,11,0.25
P00821,36,8.3,0.52,0,12,0.27
P00822,18,7.6,0.47,8,3,0.33
P00823,31,13.2,0.52,3,10,0.13
P00824,34,13.7,0.45,9,15,0.07
P00825,48,12.7,0.86,10,9,0.28
P00826,13,10.3,0.33,3,1,0.4
P00827,50,4.0,0.95,9,9,0.05
P00828,32,4.1,0.97,6,3,0.13
P00829,10,4.6,0.51,9,0,0.16
P00830,76,2.2,0.92,8,11,0.17
P00831,72,3.7,0.94,10,11,0.14
P00832,23,10.9,0.47,6,7,0.15
P00833,36,2.6,0.88,7,4,0.28
P00834,62,14.1,0.94,4,4,0.38
P00835,23,3.3,0.45,9,7,0.1
P00836,8,13.7,0.52,2,12,0.17
P00837,14,6.5,0.65,3,5,0.29
P00838,40,12.6,0.45,8,5,0.07
P00839,71,14.4,0.85,2,4,0.13
P00840,18,9.7,0.32,7,13,0.12
P00841,88,2.9,0.98,4,7,0.13
P00842,10,2.9,0.46,1,7,0.3
P00843,20,12.2,0.67,1,1,0.21
P00844,27,10.7,0.62,4,4,0.25
P00845,25,8.0,0.45,2,6,0.27
P00846,14,6.0,0.34,2,1,0.05
P00847,25,4.0,0.61,8,13,0.32
P00848,56,14.4,0.86,2,13,0.37
P00849,22,6.0,0.58,3,12,0.06
P00850,9,11.3,0.34,4,9,0.17
P00851,23,14.9,0.95,9,8,0.34
P00852,14,5.8,0.49,0,9,0.29
P00853,7,6.7,0.59,3,9,0.2
P00854,76,5.5,0.96,6,12,0.22
P00855,7,3.5,0.64,4,4,0.17
P00856,23,3.2,0.89,3,6,0.37
P00857,21,4.7,0.46,3,0,0.18
P00858,27,12.6,0.47,6,8,0.33
P00859,63,10.2,0.86,1,3,0.35
P00860,82,13.2,0.9,2,11,0.17
P00861,25,11.4,0.34,7,7,0.3
P00862,36,2.9,0.69,4,7,0.07
P00863,8,3.5,0.42,8,11,0.17
P00864,37,12.5,0.48,8,0,0.4
P00865,78,5.4,0.91,8,15,0.39
P00866,7,11.5,0.65,0,12,0.18
P00867,30,8.6,0.46,0,3,0.2
P00868,83,13.3,0.94,5,10,0.19
P00869,54,11.5,0.86,6,8,0.17
P00870,36,6.2,0.4,7,2,0.4
P00871,40,3.1,0.94,3,8,0.23
P00872,73,5.3,0.89,1,7,0.29
P00873,22,7.3,0.91,4,7,0.12
P00874,5,4.6,0.49,8,2,0.17
P00875,79,6.4,0.87,10,12,0.08
P00876,16,10.3,0.44,2,14,0.07
P00877,72,11.1,0.91,7,1,0.21
P00878,49,3.0,0.91,7,12,0.19
P00879,74,4.3,0.89,8,6,0.32
P00880,17,5.0,0.65,1,13,0.28
P00881,22,9.2,0.68,0,11,0.25
P00882,41,7.3,0.96,3,0,0.28
P00883,19,4.7,0.46,1,1,0.14
P00884,23,11.8,0.89,10,3,0.15
P00885,25,13.2,0.41,0,13,0.14
P00886,15,7.2,0.65,6,10,0.39
P00887,29,7.1,0.63,3,0,0.21
P00888,23,5.9,0.98,8,0,0.34
P00889,7,2.9,0.42,5,4,0.19
P00890,78,7.6,0.94,1,9,0.38
P00891,90,2.8,0.98,2,2,0.26
P00892,5,9.2,0.61,2,10,0.12
P00893,31,9.3,0.54,8,0,0.21
P00894,9,12.8,0.38,1,11,0.14
P00895,74,8.0,0.95,2,14,0.11
P00896,29,7.6,0.86,3,10,0.21
P00897,85,4.0,0.86,1,4,0.17
P00898,14,12.3,0.43,6,11,0.32
P00899,20,3.6,0.42,4,2,0.2
P00900,15,6.8,0.31,6,8,0.15
P00901,15,10.7,0.6,9,15,0.13
P00902,69,11.8,0.94,5,3,0.3
P00903,9,14.2,0.41,3,10,0.07
P00904,40,10.0,0.52,2,11,0.22
P00905,40,7.1,0.43,1,10,0.13
P00906,73,5.2,0.85,0,14,0.13
P00907,74,12.0,0.88,5,0,0.36
P00908,35,10.0,0.89,5,10,0.14
P00909,84,12.2,0.86,6,6,0.13
P00910,11,2.5,0.66,3,2,0.26
P00911,36,11.6,0.91,10,11,0.07
P00912,39,6.2,0.61,9,7,0.4
P00913,36,7.0,0.47,1,1,0.22
P00914,11,5.1,0.6,10,7,0.15
P00915,34,8.4,0.94,7,7,0.28
P00916,40,8.9,0.53,7,12,0.22
P00917,9,7.3,0.32,7,4,0.22
P00918,31,12.0,0.42,8,6,0.2
P00919,50,13.2,0.97,1,8,0.18
P00920,16,7.4,0.37,3,11,0.38
P00921,33,11.3,0.6,6,5,0.14
P00922,16,5.7,0.51,0,0,0.19
P00923,71,12.4,0.96,8,9,0.23
P00924,69,13.9,0.88,9,6,0.38
P00925,63,12.6,0.92,10,10,0.11
P00926,54,5.0,0.91,1,2,0.12
P00927,15,11.3,0.65,9,3,0.27
P00928,35,8.3,0.32,6,6,0.1
P00929,32,8.3,0.6,10,14,0.28
P00930,9,8.0,0.5,8,5,0.4
P00931,30,10.1,0.86,10,3,0.21
P00932,20,12.2,0.63,0,9,0.37
P00933,55,14.7,0.95,0,13,0.23
P00934,54,6.5,0.89,7,6,0.06
P00935,36,8.1,0.52,2,15,0.36
P00936,27,4.0,0.32,2,12,0.14
P00937,64,12.5,0.89,3,14,0.19
P00938,40,13.0,0.59,0,6,0.21
P00939,24,8.4,0.36,7,3,0.16
P00940,62,14.0,0.98,3,13,0.15
P00941,31,14.4,0.49,4,2,0.24
P00942,72,2.0,0.91,7,14,0.05
P00943,39,13.4,0.65,9,13,0.23
P00944,40,12.1,0.51,9,2,0.05
P00945,21,7.6,0.5,9,11,0.28
P00946,34,11.0,0.52,10,6,0.33
P00947,29,10.8,0.95,2,8,0.11
P00948,40,12.0,0.31,3,6,0.38
P00949,28,4.8,0.58,2,5,0.14
P00950,5,6.8,0.58,1,12,0.34
P00951,47,5.8,0.87,3,0,0.14
P00952,11,5.5,0.59,7,4,0.15
P00953,14,9.3,0.67,4,12,0.22
P00954,35,2.4,0.44,0,4,0.22
P00955,21,3.2,0.43,8,14,0.4
P00956,49,7.7,0.87,5,7,0.25
P00957,13,14.9,0.57,3,8,0.12
P00958,38,5.0,0.51,7,8,0.06
P00959,70,4.3,0.86,9,8,0.34
P00960,54,9.8,0.93,0,1,0.29
P00961,66,4.2,0.95,6,1,0.37
P00962,22,11.1,0.92,1,14,0.15
P00963,53,2.5,0.91,6,2,0.19
P00964,28,10.7,0.98,4,13,0.25
P00965,24,6.8,0.67,2,3,0.19
P00966,15,14.1,0.51,10,2,0.37
P00967,74,5.7,0.92,7,9,0.19
P00968,26,11.8,0.86,5,10,0.17
P00969,26,3.1,0.39,4,8,0.25
P00970,18,5.7,0.45,4,6,0.23
P00971,73,10.2,0.94,4,15,0.19
P00972,22,4.0,0.55,10,9,0.32
P00973,68,4.4,0.93,1,0,0.31
P00974,28,11.4,0.35,9,6,0.11
P00975,63,11.3,0.88,9,13,0.4
P00976,84,10.0,0.87,10,7,0.19
P00977,38,2.5,0.61,9,14,0.31
P00978,23,12.3,0.69,10,4,0.18
P00979,38,7.5,0.55,7,8,0.33
P00980,27,7.1,0.69,7,10,0.17
P00981,24,14.5,0.44,9,11,0.08
P00982,86,8.3,0.96,5,9,0.1
P00983,14,2.0,0.59,8,2,0.24
P00984,40,10.9,0.57,5,5,0.35
P00985,35,2.8,0.49,9,10,0.33
P00986,9,15.0,0.57,1,8,0.39
P00987,25,13.9,0.39,5,0,0.27
P00988,54,13.0,0.87,6,2,0.06
P00989,43,11.1,0.88,2,11,0.27
P00990,12,3.5,0.39,5,3,0.4
P00991,56,3.2,0.85,2,0,0.36
P00992,33,3.0,0.46,6,15,0.19
P00993,75,14.9,0.91,8,2,0.1
P00994,30,13.7,0.37,4,10,0.29
P00995,33,6.4,0.88,2,10,0.36
P00996,62,4.9,0.88,9,4,0.37
P00997,38,14.2,0.68,5,9,0.28
P00998,8,9.7,0.6,1,9,0.16
P00999,41,9.8,0.95,5,14,0.2
P01000,27,14.1,0.89,2,0,0.12
P01001,66,5.9,0.87,7,5,0.35
P01002,6,13.7,0.54,3,7,0.08
P01003,7,13.5,0.38,0,4,0.12
P01004,18,12.8,0.36,9,1,0.1
P01005,40,8.8,0.93,3,1,0.22
P01006,36,5.7,0.86,4,13,0.22
P01007,22,12.5,0.69,5,4,0.13
P01008,42,11.2,0.88,8,4,0.07
P01009,17,10.3,0.32,6,15,0.15
P01010,29,11.5,0.67,4,11,0.29
P01011,16,6.8,0.58,9,12,0.19
P01012,75,2.2,0.97,3,14,0.17
P01013,38,3.5,0.39,6,6,0.3
P01014,38,9.2,0.65,6,5,0.08
P01015,13,11.5,0.65,5,10,0.36
P01016,80,4.3,0.89,6,14,0.34
P01017,28,5.2,0.68,9,12,0.17
P01018,40,3.1,0.64,3,6,0.08
P01019,39,13.8,0.3,10,1,0.2
P01020,6,8.5,0.67,9,7,0.16
P01021,8,14.6,0.51,1,9,0.29
P01022,34,4.6,0.43,10,9,0.35
P01023,62,12.4,0.9,3,8,0.17
P01024,34,5.8,0.39,4,0,0.05
P01025,26,6.7,0.46,1,13,0.35
P01026,65,6.9,0.94,3,1,0.27
P01027,11,2.3,0.35,2,15,0.23
P01028,32,8.2,0.55,9,15,0.35
P01029,21,11.1,0.31,6,0,0.27
P01030,7,8.6,0.56,5,13,0.06
P01031,22,14.7,0.39,7,12,0.22
P01032,30,12.1,0.52,7,2,0.21
P01033,56,3.6,0.88,1,10,0.08
P01034,21,5.9,0.31,0,6,0.34
P01035,33,5.4,0.47,8,11,0.27
P01036,19,7.4,0.48,6,4,0.07
P01037,36,12.7,0.62,6,9,0.33
P01038,5,4.3,0.35,4,5,0.36
P01039,21,9.8,0.52,6,2,0.39
P01040,82,4.6,0.86,7,12,0.3
P01041,26,14.1,0.48,0,14,0.24
P01042,72,6.3,0.89,1,6,0.27
P01043,31,2.9,0.45,0,0,0.23
P01044,72,2.4,0.92,8,1,0.19
P01045,12,13.1,0.38,7,11,0.17
P01046,8,7.1,0.4,8,12,0.28
P01047,86,8.3,0.91,3,12,0.18
P01048,39,4.5,0.6,5,14,0.19
P01049,24,3.6,0.5,0,2,0.38
P01050,19,10.1,0.44,1,15,0.21
P01051,17,4.8,0.55,7,4,0.07
P01052,24,12.7,0.41,3,6,0.22
P01053,68,4.8,0.92,8,7,0.08
P01054,39,2.3,0.4,4,15,0.38
P01055,16,8.1,0.47,4,0,0.36
P01056,60,12.2,0.92,6,13,0.09
P01057,33,3.8,0.64,3,6,0.18
P01058,35,9.4,0.45,0,13,0.39
P01059,77,4.6,0.97,0,5,0.28
P01060,89,14.1,0.95,5,1,0.16
P01061,45,3.8,0.87,0,0,0.35
P01062,77,7.1,0.91,6,12,0.37
P01063,77,13.2,0.95,9,15,0.31
P01064,5,6.4,0.37,9,3,0.18
P01065,81,7.1,0.87,9,10,0.05
P01066,16,10.5,0.57,0,3,0.11
P01067,47,10.9,0.89,0,8,0.34
P01068,30,13.4,0.39,0,15,0.39
P01069,40,7.9,0.93,2,14,0.33
P01070,24,5.7,0.36,10,8,0.22
P01071,32,13.2,0.51,7,2,0.25
P01072,47,5.9,0.98,2,9,0.16
P01073,25,12.3,0.67,8,6,0.36
P01074,9,7.9,0.61,5,2,0.27
P01075,20,5.6,0.51,8,8,0.12
P01076,45,3.2,0.94,8,11,0.14
P01077,39,5.1,0.48,0,9,0.18
P01078,40,4.5,0.4,1,14,0.19
P01079,19,13.7,0.44,1,8,0.27
P01080,40,13.5,0.63,5,14,0.36
P01081,28,8.4,0.66,10,4,0.13
P01082,49,2.6,0.91,0,13,0.29
P01083,58,15.0,0.97,0,1,0.23
P01084,16,10.7,0.69,2,14,0.1
P01085,26,10.0,0.94,4,7,0.25
P01086,5,11.1,0.55,9,6,0.27
P01087,24,3.6,0.63,1,1,0.35
P01088,13,12.9,0.65,0,4,0.31
P01089,34,3.9,0.92,1,10,0.17
P01090,23,9.8,0.53,8,1,0.28
P01091,45,5.3,0.89,5,5,0.22
P01092,11,2.6,0.35,10,3,0.1
P01093,88,3.5,0.94,3,7,0.07
P01094,36,3.8,0.51,10,1,0.18
P01095,27,14.8,0.43,4,1,0.33
P01096,26,3.3,0.68,0,6,0.13
P01097,19,3.5,0.62,1,12,0.32
P01098,9,5.8,0.55,9,6,0.14
P01099,60,13.6,0.93,10,5,0.37
P01100,18,9.3,0.46,4,14,0.23
P01101,23,6.7,0.57,5,12,0.35
P01102,40,12.8,0.4,1,7,0.19
P01103,63,7.8,0.91,3,6,0.22
P01104,41,8.6,0.94,1,4,0.2
P01105,84,8.5,0.97,3,7,0.34
P01106,61,7.7,0.9,1,14,0.05
P01107,15,12.1,0.6,1,14,0.31
P01108,25,2.2,0.66,8,6,0.26
P01109,65,4.5,0.98,0,11,0.1
P01110,6,2.5,0.51,7,1,0.09
P01111,75,7.8,0.87,10,1,0.18
P01112,10,12.4,0.44,5,3,0.23
P01113,15,9.6,0.43,6,9,0.12
P01114,21,8.3,0.36,3,10,0.4
P01115,70,13.9,0.97,6,11,0.35
P01116,82,9.5,0.88,2,12,0.1
P01117,23,14.4,0.9,10,5,0.17
P01118,11,4.1,0.69,4,2,0.24
P01119,25,13.3,0.57,2,10,0.3
P01120,79,3.3,0.91,5,1,0.17
P01121,25,14.1,0.57,0,12,0.2
P01122,80,10.6,0.96,10,6,0.14
P01123,26,6.6,0.43,3,3,0.22
P01124,12,6.1,0.61,4,15,0.4
P01125,16,11.5,0.42,3,2,0.24
P01126,23,2.0,0.34,4,15,0.09
P01127,46,12.3,0.89,5,14,0.12
P01128,9,2.6,0.38,1,0,0.12
P01129,36,13.0,0.39,9,0,0.11
P01130,26,9.9,0.63,7,8,0.4
P01131,8,10.3,0.39,0,14,0.23
P01132,41,3.4,0.87,2,7,0.3
P01133,21,4.2,0.69,8,11,0.18
P01134,32,6.7,0.93,3,0,0.35
P01135,70,13.4,0.92,6,1,0.16
P01136,33,9.1,0.6,3,12,0.2
P01137,77,12.3,0.88,2,3,0.2
P01138,24,10.6,0.46,8,1,0.26
P01139,40,5.3,0.32,3,15,0.25
P01140,25,5.0,0.58,10,7,0.4
P01141,18,5.6,0.54,5,11,0.29
P01142,56,13.0,0.87,4,1,0.19
P01143,19,2.5,0.45,7,3,0.27
P01144,33,11.4,0.57,10,3,0.13
P01145,6,7.5,0.39,5,8,0.36
P01146,22,6.3,0.47,6,7,0.14
P01147,89,2.7,0.89,10,11,0.12
P01148,72,11.6,0.92,1,2,0.31
P01149,10,13.9,0.31,0,4,0.07
P01150,38,10.4,0.35,4,11,0.32
P01151,74,7.0,0.89,1,11,0.18
P01152,7,11.2,0.59,10,9,0.28
P01153,27,2.1,0.57,7,13,0.1
P01154,39,2.1,0.92,1,10,0.17
P01155,15,13.2,0.58,0,7,0.2
P01156,89,10.5,0.94,9,4,0.3
P01157,16,4.7,0.57,10,9,0.26
P01158,8,12.8,0.47,2,1,0.14
P01159,40,8.5,0.9,1,6,0.15
P01160,30,9.7,0.66,7,1,0.09
P01161,40,12.8,0.39,4,14,0.33
P01162,15,8.2,0.47,5,7,0.2
P01163,26,7.9,0.59,7,9,0.36
P01164,24,13.7,0.91,6,10,0.12
P01165,22,3.8,0.67,4,15,0.08
P01166,29,8.7,0.59,5,14,0.35
P01167,57,8.4,0.87,10,3,0.17
P01168,29,14.3,0.47,5,12,0.32
P01169,11,10.6,0.69,3,5,0.33
P01170,63,4.7,0.94,5,8,0.22
P01171,5,9.1,0.42,3,3,0.19
P01172,33,6.1,0.4,1,2,0.39
P01173,22,6.0,0.68,3,3,0.07
P01174,13,9.0,0.4,5,14,0.09
P01175,38,13.3,0.69,4,7,0.2
P01176,72,5.9,0.92,6,8,0.13
P01177,39,13.5,0.33,8,5,0.29
P01178,13,6.1,0.45,3,0,0.24
P01179,23,8.2,0.64,3,4,0.26
P01180,26,11.5,0.94,6,2,0.15
P01181,77,5.7,0.96,0,14,0.11
P01182,23,5.8,0.49,10,13,0.29
P01183,29,4.1,0.87,7,3,0.34
P01184,51,3.6,0.85,6,1,0.08
P01185,8,6.8,0.55,4,11,0.21
P01186,34,2.4,0.33,3,1,0.13
P01187,73,14.8,0.94,7,0,0.32
P01188,30,4.3,0.41,3,2,0.23
P01189,26,13.1,0.67,3,14,0.36
P01190,59,7.5,0.98,0,0,0.29
P01191,53,9.8,0.88,10,9,0.14
P01192,6,14.1,0.34,8,7,0.34
P01193,8,13.5,0.65,8,10,0.24
P01194,84,14.1,0.92,1,9,0.08
P01195,28,14.0,0.59,6,4,0.24
P01196,24,14.3,0.98,3,14,0.12
P01197,48,3.2,0.85,5,5,0.33
P01198,57,14.2,0.88,4,6,0.27
P01199,25,8.6,0.35,1,8,0.18
P01200,24,10.7,0.39,0,12,0.08
P01201,89,7.7,0.92,9,12,0.32
P01202,38,7.5,0.69,5,0,0.28
P01203,12,2.1,0.42,9,13,0.1
P01204,13,3.3,0.69,9,14,0.25
P01205,20,11.2,0.56,6,13,0.08
P01206,28,13.2,0.87,8,13,0.15
P01207,39,9.3,0.37,5,4,0.38
P01208,30,10.4,0.61,3,11,0.2
P01209,39,8.0,0.85,6,5,0.16
P01210,10,7.5,0.42,5,9,0.39
P01211,17,7.4,0.34,7,4,0.23
P01212,37,4.2,0.33,6,9,0.13
P01213,8,3.7,0.47,9,7,0.36
P01214,14,9.3,0.44,3,13,0.22
P01215,16,10.7,0.34,1,0,0.37
P01216,6,2.3,0.31,2,12,0.17
P01217,26,12.9,0.95,8,0,0.21
P01218,11,14.0,0.47,0,4,0.38
P01219,5,7.9,0.38,3,10,0.32
P01220,34,13.7,0.56,1,4,0.38
P01221,21,2.4,0.95,2,0,0.21
P01222,14,4.9,0.69,5,13,0.17
P01223,12,7.2,0.31,8,0,0.25
P01224,16,10.0,0.65,1,12,0.09
P01225,18,14.4,0.37,0,8,0.07
P01226,44,4.3,0.97,6,4,0.12
P01227,82,5.6,0.87,0,12,0.4
P01228,40,10.2,0.58,0,15,0.18
P01229,57,6.5,0.97,4,4,0.23
P01230,40,14.9,0.36,0,4,0.1
P01231,54,15.0,0.93,5,7,0.26
P01232,15,14.0,0.49,8,10,0.21
P01233,32,9.8,0.85,7,3,0.31
P01234,40,5.5,0.64,10,3,0.33
P01235,23,5.0,0.33,2,4,0.18
P01236,22,4.7,0.64,2,10,0.4
P01237,57,9.5,0.87,4,14,0.38
P01238,22,14.3,0.45,1,8,0.21
P01239,28,4.3,0.47,3,13,0.23
P01240,6,7.6,0.43,1,8,0.23
P01241,86,11.5,0.9,9,3,0.2
P01242,18,11.6,0.33,10,1,0.35
P01243,65,14.0,0.96,6,8,0.21
P01244,85,4.7,0.89,4,1,0.34
P01245,22,2.9,0.96,10,1,0.36
P01246,34,9.1,0.33,0,0,0.4
P01247,43,2.1,0.89,6,13,0.24
P01248,23,9.4,0.62,8,14,0.26
P01249,62,12.4,0.97,4,0,0.36
P01250,25,9.4,0.51,1,14,0.28
P01251,42,9.5,0.9,5,5,0.07
P01252,9,12.2,0.65,5,11,0.32
P01253,5,7.3,0.57,7,9,0.18
P01254,58,4.5,0.95,2,14,0.19
P01255,21,7.0,0.51,9,11,0.4
P01256,8,14.4,0.51,9,6,0.1
P01257,33,12.4,0.51,1,2,0.09
P01258,30,9.5,0.6,5,7,0.39
P01259,57,4.5,0.88,2,11,0.33
P01260,16,14.1,0.34,6,7,0.28
P01261,26,3.1,0.55,1,15,0.05
P01262,17,6.3,0.44,7,4,0.07
P01263,82,2.6,0.94,5,9,0.33
